packaging_material,submission_id,reporting_period,organisation_id,site_id,nation,packaging_class,activity,weight_tonnes,submission_date
Other,REC-0531-Q2 2024-SITE-B-OT01,2024-Q2,ORG-12345,SITE-B,Scotland,Shipment,Supplied as goods,,2024-03-26
Wood,REC-0532-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-05-06
Wood,REC-0533-Q2 2024-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-07-17
Fibre-based composite,REC-0534-2024-Q1-SITE-C-FB01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-10-07
Steel,REC-0535-Q4 2024-SITE-D-ST01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-11-10
Plastic,REC-0536-Q4 2024-SITE-E-PL02,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-07-09
Wood,REC-0537-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-04-08
Aluminium,REC-0538-Q2 2024-SITE-B-AL01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-07-18
Plastic,REC-0539-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-09-16
Wood,REC-0540-Q2 2024-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-03-20
Glass,REC-0541-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-04-16
Other,REC-0542-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-08-31
Wood,REC-0543-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-04-17
Other,REC-0544-2024-Q1-SITE-D-OT01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-07-26
Fibre-based composite,REC-0545-2024-Q1-SITE-B-FB01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-09-14
Plastic,REC-0546-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-03-21
Other,REC-0547-Q4 2024-SITE-E-OT01,,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-02-06
Other,REC-0548-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2025-01-05
Plastic,REC-0549-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Secondary,Supplied as goods,,2024-10-19
Fibre-based composite,REC-0550-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-01-18
Fibre-based composite,REC-0551-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-04-03
Fibre-based composite,REC-0552-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-06-04
Fibre-based composite,REC-0553-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-10-25
Wood,REC-0554-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-05-11
Wood,REC-0555-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-10-22
Plastic,REC-0556-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Imported,,2024-11-17
Fibre-based composite,REC-0557-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-07-29
Fibre-based composite,REC-0558-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-01-20
Aluminium,REC-0559-2024-Q1-SITE-B-AL01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-10-02
Other,REC-0560-Q2 2024-SITE-C-OT01,2024-Q2,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2024-01-15
Glass,REC-0561-Q4 2024-SITE-D-GL01,,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-04-26
Other,REC-0562-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Primary,Exported,,2024-10-27
Paper/card,REC-0563-Q4 2024-SITE-D-PC01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-01-17
Steel,REC-0564-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Primary,Imported,,2024-03-14
Other,REC-0565-Q4 2024-SITE-D-OT01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-09-18
Aluminium,REC-0566-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-03-14
Steel,REC-0567-2024-Q3-SITE-B-ST01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-07-13
Other,REC-0568-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Shipment,Supplied as goods,,2024-08-06
Paper/card,REC-0569-2024-Q3-SITE-C-PC01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-11-03
Steel,REC-0570-Q2 2024-SITE-D-ST01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-05-17
Steel,REC-0571-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-03-09
Plastic,REC-0572-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-02-05
Wood,REC-0573-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-06-06
Fibre-based composite,REC-0574-2024-Q1-SITE-D-FB01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-07-10
Fibre-based composite,REC-0575-Q4 2024-SITE-A-FB01,,ORG-12345,SITE-A,England,Tertiary,Exported,,2025-01-01
Plastic,REC-0576-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-05-26
Glass,REC-0577-2024-Q3-SITE-E-GL01,2024-Q3,ORG-12345,SITE-E,England,Shipment,Imported,,2024-04-18
Wood,REC-0578-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-09-01
Glass,REC-0579-2024-Q3-SITE-A-GL01,2024-Q3,ORG-12345,SITE-A,England,Shipment,Supplied as goods,,2024-10-25
Fibre-based composite,REC-0580-2024-Q1-SITE-D-FB01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Imported,,2024-08-17
Wood,REC-0581-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-10-28
Plastic,REC-0582-2024-Q3-SITE-B-PL01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-12-02
Plastic,REC-0583-2024-Q3-SITE-C-PL02,2024-Q3,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-01-25
Fibre-based composite,REC-0584-Q2 2024-SITE-E-FB01,2024-Q2,ORG-12345,SITE-E,England,Primary,Imported,,2024-07-14
Paper/card,REC-0585-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-06-09
Wood,REC-0586-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-02-24
Glass,REC-0587-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-08-29
Paper/card,REC-0588-Q2 2024-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-01-26
Glass,REC-0589-Q2 2024-SITE-B-GL01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-03-07
Plastic,REC-0590-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-05-28
Glass,REC-0591-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-06-08
Wood,REC-0592-2024-Q1-SITE-A-WD01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-07-15
Paper/card,REC-0593-Q4 2024-SITE-E-PC01,,ORG-12345,SITE-E,England,Tertiary,Imported,,2025-01-06
Other,REC-0594-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Primary,Exported,,2024-09-17
Other,REC-0595-2024-Q3-SITE-D-OT01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-06-18
Plastic,REC-0596-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-10-14
Plastic,REC-0597-2024-Q1-SITE-C-PL01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-06-12
Aluminium,REC-0598-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-05-21
Glass,REC-0599-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-08-18
Aluminium,REC-0600-2024-Q3-SITE-C-AL01,2024-Q3,ORG-12345,SITE-C,Wales,Shipment,Exported,,2024-04-20
Plastic,REC-0601-2024Q2-SITE-E-PL02,2024-Q2,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2025-01-07
Wood,REC-0602-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Primary,Imported,,2024-03-07
Steel,REC-0603-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Supplied as goods,,2024-01-22
Wood,REC-0604-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-01-31
Paper/card,REC-0605-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-04-22
Steel,REC-0606-Q4 2024-SITE-B-ST01,,ORG-12345,SITE-B,Scotland,Tertiary,Imported,,2024-05-20
Plastic,REC-0607-Q2 2024-SITE-E-PL01,2024-Q2,ORG-12345,SITE-E,England,Primary,Imported,,2024-03-15
Steel,REC-0608-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-09-17
Steel,REC-0609-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Primary,Imported,,2024-08-24
Paper/card,REC-0610-Q2 2024-SITE-D-PC01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-02-05
Wood,REC-0611-Q2 2024-SITE-B-WD01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-03-01
Paper/card,REC-0612-2024-Q1-SITE-B-PC01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Exported,,2024-09-20
Aluminium,REC-0613-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2025-01-01
Fibre-based composite,REC-0614-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-06-13
,REC-0615-2024-Q3-SITE-E-UNKNOWN,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-09-10
Steel,REC-0616-Q2 2024-SITE-A-ST01,2024-Q2,ORG-12345,SITE-A,England,Tertiary,Exported,,2024-06-14
Steel,REC-0617-2024-Q1-SITE-Z-ST01,2024-Q1,ORG-12345,SITE-Z,,Shipment,Imported,,2024-07-19
Aluminium,REC-0618-Q4 2024-SITE-B-AL01,,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-04-02
Steel,REC-0619-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Imported,,2024-03-21
Glass,REC-0620-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-11-02
Fibre-based composite,REC-0621-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-11-20
Plastic,REC-0622-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-10-26
Fibre-based composite,REC-0623-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-02-04
Plastic,REC-0624-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-05-12
Other,REC-0625-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-10-26
Fibre-based composite,REC-0626-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-04-09
Glass,REC-0627-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Shipment,Imported,,2024-06-24
Other,REC-0628-Q2 2024-SITE-C-OT01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-10-20
Aluminium,REC-0629-Q4 2024-SITE-C-AL01,,ORG-12345,SITE-C,Wales,Secondary,Exported,,2024-08-05
Plastic,REC-0630-Q2 2024-SITE-E-PL01,2024-Q2,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-01-18
Steel,REC-0631-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-02-03
Wood,REC-0632-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-05-25
Steel,REC-0633-2024-Q3-SITE-A-ST01,2024-Q3,ORG-12345,SITE-A,England,Primary,Exported,,2024-04-12
Wood,REC-0634-2024-Q3-SITE-E-WD01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Exported,,2024-11-05
Fibre-based composite,REC-0635-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-03-16
Aluminium,REC-0636-2024-Q1-SITE-D-AL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-10-09
Plastic,REC-0637-Q2 2024-SITE-E-PL01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Exported,,2024-02-09
Fibre-based composite,REC-0638-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-08-03
Glass,REC-0639-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Primary,Imported,,2024-02-27
Fibre-based composite,REC-0640-Q4 2024-SITE-B-FB01,,ORG-12345,SITE-B,Scotland,Shipment,Imported,,2024-04-25
Wood,REC-0641-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-08-22
Paper/card,REC-0642-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-04-21
Paper/card,REC-0643-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-08-28
Glass,REC-0644-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-02-27
Plastic,REC-0645-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Supplied as goods,,2025-01-04
Plastic,REC-0646-Q2 2024-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-10-20
Other,REC-0647-Q4 2024-SITE-A-OT01,,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-12-19
Other,REC-0648-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-09-09
Plastic,REC-0649-2024-Q1-SITE-A-PL01,2024-Q1,ORG-12345,SITE-A,England,Primary,Imported,,2024-12-12
Fibre-based composite,REC-0650-Q4 2024-SITE-C-FB01,,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-10-13
Plastic,REC-0651-2024-Q1-SITE-E-PL02,2024-Q1,ORG-12345,SITE-E,England,Primary,Supplied as goods,,2024-05-20
Other,REC-0652-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Secondary,Imported,,2024-07-13
Paper/card,REC-0653-2024-Q3-SITE-A-PC01,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-01-30
Other,REC-0654-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-07-28
Other,REC-0655-Q2 2024-SITE-D-OT01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-04-02
Fibre-based composite,REC-0656-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-10-18
Aluminium,REC-0657-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-10-30
Glass,REC-0658-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-01-30
Paper/card,REC-0659-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Imported,,2024-03-22
Glass,REC-0660-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Primary,Exported,,2024-12-31
Plastic,REC-0661-Q4 2024-SITE-B-PL01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-12-12
Paper/card,REC-0662-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-01-31
Fibre-based composite,REC-0663-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Tertiary,Supplied as goods,,2024-02-17
Glass,REC-0664-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Secondary,Exported,,2024-08-09
Plastic,REC-0665-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Shipment,Exported,,2024-03-10
Wood,REC-0666-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-02-04
Other,REC-0667-2024-Q3-SITE-B-OT01,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-08-05
Steel,REC-0668-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Tertiary,Imported,,2024-10-05
Glass,REC-0669-Q2 2024-SITE-B-GL01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-08-13
Paper/card,REC-0670-2024-Q1-SITE-D-PC01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2024-06-28
Glass,REC-0671-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-10-09
Fibre-based composite,REC-0672-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-04-11
Paper/card,REC-0673-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Shipment,Exported,,2024-02-10
Fibre-based composite,REC-0674-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-03-22
Aluminium,REC-0675-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Primary,Exported,,2024-10-19
Plastic,REC-0676-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-02-24
Plastic,REC-0677-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Primary,Exported,,2024-02-12
Paper/card,REC-0678-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-03-10
Fibre-based composite,REC-0679-2024-Q3-SITE-D-FB01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-03-02
Steel,REC-0680-2024-Q1-SITE-D-ST01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Secondary,Imported,,2024-09-12
Glass,REC-0681-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Primary,Exported,,2024-05-01
Aluminium,REC-0682-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Supplied as goods,,2024-11-21
Paper/card,REC-0683-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-12-03
Wood,REC-0684-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Secondary,Supplied as goods,,2024-03-15
Plastic,REC-0685-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Secondary,Exported,,2024-02-07
Paper/card,REC-0686-Q2 2024-SITE-A-PC01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Exported,,2024-06-07
Steel,REC-0687-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Supplied as goods,,2024-07-03
Paper/card,REC-0688-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Secondary,Exported,,2024-07-06
Wood,REC-0689-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-07-04
Wood,REC-0690-2024-Q3-SITE-E-WD01,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Imported,,2024-12-27
Paper/card,REC-0691-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Exported,,2024-06-06
Plastic,REC-0692-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Secondary,Imported,,2024-11-14
Plastic,REC-0693-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-02-28
Wood,REC-0694-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Primary,Imported,,2024-03-12
Paper/card,REC-0695-2024-Q1-SITE-D-PC01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Supplied as goods,,2024-09-27
Glass,REC-0696-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Imported,,2024-10-05
Glass,REC-0697-2024-Q1-SITE-E-GL01,2024-Q1,ORG-12345,SITE-E,England,Primary,Exported,,2024-06-22
Plastic,REC-0698-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-10-07
Steel,REC-0699-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Primary,Exported,,2024-06-09
Steel,REC-0700-Q2 2024-SITE-C-ST01,2024-Q2,ORG-12345,SITE-C,Wales,Shipment,Imported,,2024-06-03
Plastic,REC-0701-2024Q2-SITE-B-PL02,2024-Q2,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-06-26
Steel,REC-0702-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-11-23
Paper/card,REC-0703-2024-Q1-SITE-D-PC01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-07-29
Plastic,REC-0704-2024-Q3-SITE-E-PL01,2024-Q3,ORG-12345,SITE-E,England,Primary,Imported,,2024-07-03
Aluminium,REC-0705-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2025-01-06
Wood,REC-0706-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Primary,Imported,,2024-03-28
Steel,REC-0707-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Secondary,Imported,,2024-03-15
Plastic,REC-0708-2024-Q3-SITE-B-PL02,2024-Q3,ORG-12345,SITE-B,Scotland,Secondary,Supplied as goods,,2024-11-19
Glass,REC-0709-2024-Q1-SITE-C-GL01,2024-Q1,ORG-12345,SITE-C,Wales,Shipment,Supplied as goods,,2024-10-13
Wood,REC-0710-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Secondary,Exported,,2024-07-29
Plastic,REC-0711-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Secondary,Supplied as goods,,2025-01-04
Aluminium,REC-0712-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Primary,Exported,,2024-10-25
Plastic,REC-0713-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Tertiary,Imported,,2024-11-15
Fibre-based composite,REC-0714-Q2 2024-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Secondary,Imported,,2024-11-07
,REC-0715-2024-Q3-SITE-E-UNKNOWN,2024-Q3,ORG-12345,SITE-E,England,Tertiary,Supplied as goods,,2024-11-25
Wood,REC-0716-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Primary,Supplied as goods,,2024-07-09
Plastic,REC-0717-2024-Q3-SITE-Z-PL02,2024-Q3,ORG-12345,SITE-Z,,Shipment,Supplied as goods,,2024-07-22
Other,REC-0718-2024-Q3-SITE-A-OT01,2024-Q3,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-05-14
Fibre-based composite,REC-0719-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-08-24
Other,REC-0720-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Primary,Exported,,2024-08-15
Glass,REC-0721-2024-Q1-SITE-A-GL01,2024-Q1,ORG-12345,SITE-A,England,Secondary,Exported,,2024-09-20
Fibre-based composite,REC-0722-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Primary,Supplied as goods,,2024-04-16
Wood,REC-0723-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Shipment,Imported,,2024-04-19
Fibre-based composite,REC-0724-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-10-20
Paper/card,REC-0725-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Primary,Supplied as goods,,2024-02-24
Glass,REC-0726-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Tertiary,Exported,,2024-11-22
Plastic,REC-0727-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Primary,Imported,,2024-02-11
Paper/card,REC-0728-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-07-13
Steel,REC-0729-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Secondary,Supplied as goods,,2024-12-02
Wood,REC-0730-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Shipment,Supplied as goods,,2024-09-19
