submission_id,reporting_period,organisation_id,site_id,nation,packaging_material,packaging_class,activity,weight_tonnes,submission_date
REC-0720-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Other,Primary,Exported,0.90838,2024-08-15
REC-0721-2024-Q1-SITE-A-GL01,2024-Q1,ORG-12345,SITE-A,England,Glass,Secondary,Exported,0.67147,2024-09-20
REC-0722-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Primary,Supplied as goods,729.24,2024-04-16
REC-0723-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Wood,Shipment,Imported,2782.65,2024-04-19
REC-0724-2024-Q3-SITE-E-FB01,2024-Q3,ORG-12345,SITE-E,England,Fibre-based composite,Shipment,Supplied as goods,2.9108,2024-10-20
REC-0725-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Paper/card,Primary,Supplied as goods,2862.34,2024-02-24
REC-0726-2024-Q1-SITE-D-GL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Glass,Tertiary,Exported,2655.72,2024-11-22
REC-0727-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Plastic,Primary,Imported,3.1717800000000005,2024-02-11
REC-0728-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Paper/card,Shipment,Supplied as goods,2370.9,2024-07-13
REC-0729-2024-Q3-SITE-E-ST01,2024-Q3,ORG-12345,SITE-E,England,Steel,Secondary,Supplied as goods,224.86,2024-12-02
REC-0730-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Wood,Shipment,Supplied as goods,2885.66,2024-09-19
REC-0731-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Primary,Exported,430.47,2024-06-06
REC-0732-Q2 2024-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Steel,Tertiary,Imported,0.1203,2024-04-01
REC-0733-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Wood,Secondary,Supplied as goods,1.3432000000000002,2024-01-31
REC-0734-Q4 2024-SITE-D-PC01,,ORG-12345,SITE-D,Northern Ireland,Paper/card,Primary,Supplied as goods,2.9979400000000003,2024-05-15
REC-0735-2024-Q3-SITE-A-WD01,2024-Q3,ORG-12345,SITE-A,England,Wood,Tertiary,Exported,878.05,2024-02-10
REC-0736-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Glass,Secondary,Imported,2407.35,2024-12-29
REC-0737-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Fibre-based composite,Secondary,Imported,768.49,2024-07-28
REC-0738-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Paper/card,Shipment,Exported,4.781560000000001,2024-11-22
REC-0739-Q4 2024-SITE-C-ST01,,ORG-12345,SITE-C,Wales,Steel,Secondary,Imported,1.37208,2024-12-25
REC-0740-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Aluminium,Tertiary,Exported,2.9641900000000003,2025-01-02
REC-0741-2024-Q1-SITE-A-GL01,2024-Q1,ORG-12345,SITE-A,England,Glass,Secondary,Exported,0.10236,2024-03-05
REC-0742-2024-Q3-SITE-C-OT01,2024-Q3,ORG-12345,SITE-C,Wales,Other,Primary,Exported,2.2574099999999997,2024-02-01
REC-0743-2024-Q1-SITE-E-PL01,2024-Q1,ORG-12345,SITE-E,England,Plastic,Shipment,Supplied as goods,0.33157,2024-03-16
REC-0744-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Plastic,Tertiary,Exported,0.69304,2024-06-13
REC-0745-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Wood,Tertiary,Supplied as goods,3211.96,2024-04-06
REC-0746-2024-Q3-SITE-A-PL02,2024-Q3,ORG-12345,SITE-A,England,Plastic,Secondary,Supplied as goods,1944.86,2024-04-15
REC-0747-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Wood,Primary,Imported,4.898140000000001,2024-12-10
REC-0748-2024-Q1-SITE-B-WD01,2024-Q1,ORG-12345,SITE-B,Scotland,Wood,Primary,Supplied as goods,2726.13,2024-05-26
REC-0749-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Supplied as goods,398.54,2024-03-31
REC-0750-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Plastic,Primary,Exported,1.98289,2024-01-16
REC-0751-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Other,Tertiary,Imported,2416.79,2024-07-29
REC-0752-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Wood,Primary,Exported,2699.76,2024-02-12
REC-0753-Q4 2024-SITE-A-PL02,,ORG-12345,SITE-A,England,Plastic,Secondary,Exported,4274.04,2024-12-11
REC-0754-2024-Q3-SITE-B-AL01,2024-Q3,ORG-12345,SITE-B,Scotland,Aluminium,Primary,Exported,244.69,2024-08-01
REC-0755-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Plastic,Tertiary,Exported,1.8283399999999999,2024-02-02
REC-0756-Q4 2024-SITE-D-AL01,,ORG-12345,SITE-D,Northern Ireland,Aluminium,Primary,Exported,4.982100000000001,2024-10-17
REC-0757-2024-Q1-SITE-A-ST01,2024-Q1,ORG-12345,SITE-A,England,Steel,Secondary,Exported,4826.52,2024-02-12
REC-0758-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Paper/card,Tertiary,Exported,0.26193,2024-10-15
REC-0759-Q2 2024-SITE-A-GL01,2024-Q2,ORG-12345,SITE-A,England,Glass,Tertiary,Exported,1.20328,2024-12-14
REC-0760-Q2 2024-SITE-A-PL01,2024-Q2,ORG-12345,SITE-A,England,Plastic,Secondary,Exported,0.27672,2024-02-09
REC-0761-2024-Q1-SITE-E-ST01,2024-Q1,ORG-12345,SITE-E,England,Steel,Tertiary,Supplied as goods,2.30811,2024-03-13
REC-0762-2024-Q3-SITE-D-WD01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Wood,Shipment,Exported,1.14183,2024-12-27
REC-0763-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Fibre-based composite,Secondary,Supplied as goods,4.880470000000001,2024-11-13
REC-0764-Q2 2024-SITE-D-GL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Glass,Secondary,Supplied as goods,0.6476900000000001,2024-07-22
REC-0765-2024-Q1-SITE-B-OT01,2024-Q1,ORG-12345,SITE-B,Scotland,Other,Primary,Imported,1.25604,2024-11-23
REC-0766-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Fibre-based composite,Tertiary,Supplied as goods,127.37,2024-04-15
REC-0767-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Plastic,Tertiary,Exported,2988.97,2024-03-19
REC-0768-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Aluminium,Primary,Exported,1391.2,2024-11-22
REC-0769-2024-Q3-SITE-C-PL01,2024-Q3,ORG-12345,SITE-C,Wales,Plastic,Shipment,Supplied as goods,3.60013,2024-01-17
REC-0770-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Other,Primary,Supplied as goods,0.63166,2024-09-30
REC-0771-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Aluminium,Secondary,Exported,3313.67,2024-03-31
REC-0772-2024-Q3-SITE-A-WD01,2024-Q3,ORG-12345,SITE-A,England,Wood,Secondary,Supplied as goods,0.84081,2024-05-01
REC-0773-2024-Q1-SITE-A-FB01,2024-Q1,ORG-12345,SITE-A,England,Fibre-based composite,Secondary,Imported,3103.26,2024-02-10
REC-0774-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Other,Primary,Supplied as goods,3938.19,2024-05-14
REC-0775-Q2 2024-SITE-C-WD01,2024-Q2,ORG-12345,SITE-C,Wales,Wood,Shipment,Exported,1.66356,2024-06-29
REC-0776-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Aluminium,Primary,Supplied as goods,3.70185,2024-09-12
REC-0777-Q4 2024-SITE-B-WD01,,ORG-12345,SITE-B,Scotland,Wood,Primary,Imported,767.46,2024-03-24
REC-0778-2024-Q3-SITE-B-WD01,2024-Q3,ORG-12345,SITE-B,Scotland,Wood,Tertiary,Supplied as goods,3178.5,2024-01-31
REC-0779-Q4 2024-SITE-D-PL01,,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Supplied as goods,599.99,2024-07-08
REC-0780-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Aluminium,Secondary,Exported,0.8261000000000001,2024-08-12
REC-0781-2024-Q1-SITE-C-OT01,2024-Q1,ORG-12345,SITE-C,Wales,Other,Secondary,Supplied as goods,2978.33,2024-08-21
REC-0782-Q2 2024-SITE-E-AL01,2024-Q2,ORG-12345,SITE-E,England,Aluminium,Primary,Imported,2.19953,2024-01-17
REC-0783-Q4 2024-SITE-D-FB01,,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Primary,Supplied as goods,4.9568,2025-01-05
REC-0784-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Imported,1.24053,2024-07-16
REC-0785-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Steel,Primary,Exported,4.99481,2025-01-09
REC-0786-Q4 2024-SITE-D-WD01,,ORG-12345,SITE-D,Northern Ireland,Wood,Tertiary,Exported,3.74907,2025-01-09
REC-0787-Q4 2024-SITE-A-FB01,,ORG-12345,SITE-A,England,Fibre-based composite,Primary,Imported,3.15271,2024-07-03
REC-0788-Q2 2024-SITE-E-OT01,2024-Q2,ORG-12345,SITE-E,England,Other,Primary,Imported,2158.22,2024-02-25
REC-0789-2024-Q1-SITE-A-PC01,2024-Q1,ORG-12345,SITE-A,England,Paper/card,Tertiary,Supplied as goods,2597.95,2024-07-20
REC-0790-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Wood,Shipment,Supplied as goods,1.85958,2024-04-28
REC-0791-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Glass,Secondary,Supplied as goods,2721.19,2024-05-09
REC-0792-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Paper/card,Secondary,Imported,2542.65,2024-07-23
REC-0793-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Paper/card,Secondary,Imported,2.53218,2024-11-27
REC-0794-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Paper/card,Tertiary,Exported,4.72956,2024-02-25
REC-0795-Q2 2024-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Fibre-based composite,Primary,Imported,4.79337,2024-03-12
REC-0796-Q4 2024-SITE-C-GL01,,ORG-12345,SITE-C,Wales,Glass,Secondary,Supplied as goods,4.381220000000001,2024-10-18
REC-0797-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Glass,Secondary,Imported,2.1296399999999998,2024-01-26
REC-0798-2024-Q3-SITE-E-AL01,2024-Q3,ORG-12345,SITE-E,England,Aluminium,Tertiary,Exported,3241.13,2024-12-10
REC-0799-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Paper/card,Secondary,Exported,3345.98,2024-03-22
REC-0800-2024-Q1-SITE-C-ST01,2024-Q1,ORG-12345,SITE-C,Wales,Steel,Primary,Imported,1172.57,2024-07-13
REC-0801-2024Q2-SITE-E-ST01,2024-Q2,ORG-12345,SITE-E,England,Steel,Secondary,Supplied as goods,3.1122199999999998,2024-04-13
REC-0802-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Glass,Primary,Supplied as goods,628.74,2024-05-27
REC-0803-2024-Q3-SITE-C-PC01,2024-Q3,ORG-12345,SITE-C,Wales,Paper/card,Primary,Supplied as goods,2.83431,2024-07-23
REC-0804-Q4 2024-SITE-A-WD01,,ORG-12345,SITE-A,England,Wood,Shipment,Supplied as goods,2.69153,2024-03-29
REC-0805-Q4 2024-SITE-C-WD01,,ORG-12345,SITE-C,Wales,Wood,Secondary,Supplied as goods,0.07126,2024-11-03
REC-0806-2024-Q1-SITE-C-GL01,2024-Q1,ORG-12345,SITE-C,Wales,Glass,Tertiary,Exported,3656.29,2024-09-16
REC-0807-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Plastic,Primary,Exported,2777.25,2024-03-15
REC-0808-Q2 2024-SITE-E-WD01,2024-Q2,ORG-12345,SITE-E,England,Wood,Secondary,Supplied as goods,1.66551,2024-04-24
REC-0809-Q4 2024-SITE-E-PL01,,ORG-12345,SITE-E,England,Plastic,Primary,Exported,4.25478,2024-09-22
REC-0810-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Paper/card,Shipment,Exported,2.5822,2024-08-20
REC-0811-2024-Q3-SITE-C-PC01,2024-Q3,ORG-12345,SITE-C,Wales,Paper/card,Secondary,Imported,110.34,2024-10-28
REC-0812-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Exported,4444.63,2024-08-19
REC-0813-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Fibre-based composite,Primary,Exported,,2024-10-09
REC-0814-Q4 2024-SITE-A-PC01,,ORG-12345,SITE-A,England,Paper/card,Primary,Exported,3.7927600000000004,2024-06-02
REC-0815-Q2 2024-SITE-B-UNKNOWN,2024-Q2,ORG-12345,SITE-B,Scotland,,Primary,Exported,2.33749,2024-06-11
REC-0816-2024-Q3-SITE-E-OT01,2024-Q3,ORG-12345,SITE-E,England,Other,Secondary,Supplied as goods,4122.86,2024-10-27
REC-0817-2024-Q3-SITE-Z-WD01,2024-Q3,ORG-12345,SITE-Z,,Wood,Primary,Supplied as goods,3.96654,2024-12-05
REC-0818-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Wood,Primary,Exported,3346.27,2025-01-01
REC-0819-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Aluminium,Primary,Supplied as goods,3835.36,2024-09-17
REC-0820-2024-Q3-SITE-A-FB01,2024-Q3,ORG-12345,SITE-A,England,Fibre-based composite,Tertiary,Imported,3158.58,2024-11-04
REC-0821-2024-Q3-SITE-B-PL01,2024-Q3,ORG-12345,SITE-B,Scotland,Plastic,Tertiary,Imported,0.85609,2025-01-03
REC-0822-2024-Q3-SITE-D-GL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Glass,Secondary,Supplied as goods,311.8,2024-06-11
REC-0823-2024-Q1-SITE-B-ST01,2024-Q1,ORG-12345,SITE-B,Scotland,Steel,Shipment,Exported,4.68477,2024-04-09
REC-0824-2024-Q3-SITE-C-OT01,2024-Q3,ORG-12345,SITE-C,Wales,Other,Secondary,Imported,4142.77,2024-10-14
REC-0825-Q4 2024-SITE-C-PC01,,ORG-12345,SITE-C,Wales,Paper/card,Tertiary,Supplied as goods,113.84,2024-07-07
REC-0826-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Glass,Primary,Supplied as goods,0.8150499999999999,2024-09-06
REC-0827-2024-Q3-SITE-C-PL02,2024-Q3,ORG-12345,SITE-C,Wales,Plastic,Primary,Supplied as goods,4620.88,2024-07-18
REC-0828-2024-Q3-SITE-B-GL01,2024-Q3,ORG-12345,SITE-B,Scotland,Glass,Tertiary,Imported,4454.15,2024-03-15
REC-0829-Q2 2024-SITE-C-AL01,2024-Q2,ORG-12345,SITE-C,Wales,Aluminium,Primary,Exported,0.75468,2024-03-21
REC-0830-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Plastic,Secondary,Exported,3.8269699999999998,2024-08-22
REC-0831-2024-Q1-SITE-D-PL01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Supplied as goods,0.21232,2024-02-06
REC-0832-Q2 2024-SITE-A-PL02,2024-Q2,ORG-12345,SITE-A,England,Plastic,Secondary,Exported,0.10085,2024-04-26
REC-0833-2024-Q3-SITE-C-GL01,2024-Q3,ORG-12345,SITE-C,Wales,Glass,Tertiary,Imported,0.19483,2024-04-06
REC-0834-2024-Q1-SITE-A-OT01,2024-Q1,ORG-12345,SITE-A,England,Other,Tertiary,Exported,3.08413,2024-05-05
REC-0835-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Aluminium,Secondary,Supplied as goods,4.5132200000000005,2024-09-14
REC-0836-2024-Q3-SITE-B-PC01,2024-Q3,ORG-12345,SITE-B,Scotland,Paper/card,Tertiary,Exported,0.9663700000000001,2024-08-19
REC-0837-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Aluminium,Shipment,Supplied as goods,2067.51,2024-10-07
REC-0838-2024-Q3-SITE-A-GL01,2024-Q3,ORG-12345,SITE-A,England,Glass,Secondary,Imported,3.5384200000000003,2024-03-14
REC-0839-Q2 2024-SITE-D-FB01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Fibre-based composite,Secondary,Imported,3021.93,2024-08-10
REC-0840-2024-Q3-SITE-D-ST01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Steel,Tertiary,Imported,0.98449,2024-01-21
REC-0841-Q2 2024-SITE-A-WD01,2024-Q2,ORG-12345,SITE-A,England,Wood,Tertiary,Supplied as goods,2.01203,2024-08-07
REC-0842-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Supplied as goods,0.37032,2024-08-08
REC-0843-2024-Q3-SITE-E-PL02,2024-Q3,ORG-12345,SITE-E,England,Plastic,Primary,Imported,3639.74,2024-08-06
REC-0844-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Paper/card,Secondary,Exported,3035.67,2024-09-03
REC-0845-2024-Q1-SITE-B-PL02,2024-Q1,ORG-12345,SITE-B,Scotland,Plastic,Primary,Imported,2.4722399999999998,2024-02-11
REC-0846-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Exported,0.18241,2024-06-18
REC-0847-Q2 2024-SITE-D-PL02,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Plastic,Tertiary,Supplied as goods,3322.35,2024-12-18
REC-0848-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Wood,Secondary,Exported,1345.24,2024-08-22
REC-0849-Q4 2024-SITE-D-PL02,,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Imported,1607.07,2024-01-31
REC-0850-Q4 2024-SITE-B-GL01,,ORG-12345,SITE-B,Scotland,Glass,Shipment,Exported,4308.79,2024-03-23
REC-0851-Q4 2024-SITE-E-ST01,,ORG-12345,SITE-E,England,Steel,Tertiary,Imported,2.4629000000000003,2024-10-24
REC-0852-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Other,Shipment,Imported,2.4057600000000003,2024-05-28
REC-0853-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Wood,Shipment,Imported,3103.85,2024-01-29
REC-0854-Q4 2024-SITE-C-PL01,,ORG-12345,SITE-C,Wales,Plastic,Primary,Imported,1.7769400000000002,2024-08-21
REC-0855-Q2 2024-SITE-B-PC01,2024-Q2,ORG-12345,SITE-B,Scotland,Paper/card,Secondary,Imported,1.78878,2024-06-22
REC-0856-Q2 2024-SITE-C-PL02,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Supplied as goods,4.35125,2024-10-16
REC-0857-Q4 2024-SITE-E-PC01,,ORG-12345,SITE-E,England,Paper/card,Primary,Imported,3305.95,2024-01-25
REC-0858-Q4 2024-SITE-E-WD01,,ORG-12345,SITE-E,England,Wood,Shipment,Supplied as goods,4929.54,2024-11-03
REC-0859-Q4 2024-SITE-C-PL02,,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Imported,0.54528,2024-12-21
REC-0860-Q4 2024-SITE-B-PC01,,ORG-12345,SITE-B,Scotland,Paper/card,Primary,Exported,1532.63,2024-02-22
REC-0861-Q4 2024-SITE-E-OT01,,ORG-12345,SITE-E,England,Other,Primary,Imported,1362.52,2024-11-29
REC-0862-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Exported,518.93,2024-10-12
REC-0863-2024-Q3-SITE-C-WD01,2024-Q3,ORG-12345,SITE-C,Wales,Wood,Secondary,Supplied as goods,1.76922,2024-12-19
REC-0864-Q4 2024-SITE-E-OT01,,ORG-12345,SITE-E,England,Other,Secondary,Supplied as goods,2100.86,2024-10-21
REC-0865-Q4 2024-SITE-E-GL01,,ORG-12345,SITE-E,England,Glass,Primary,Exported,3.53149,2024-12-18
REC-0866-2024-Q1-SITE-E-WD01,2024-Q1,ORG-12345,SITE-E,England,Wood,Secondary,Exported,2686.96,2024-04-26
REC-0867-Q4 2024-SITE-D-PC01,,ORG-12345,SITE-D,Northern Ireland,Paper/card,Secondary,Supplied as goods,1239.85,2024-02-16
REC-0868-2024-Q3-SITE-B-AL01,2024-Q3,ORG-12345,SITE-B,Scotland,Aluminium,Tertiary,Imported,1371.33,2024-11-17
REC-0869-Q2 2024-SITE-A-AL01,2024-Q2,ORG-12345,SITE-A,England,Aluminium,Secondary,Supplied as goods,0.61211,2024-09-08
REC-0870-Q2 2024-SITE-B-WD01,2024-Q2,ORG-12345,SITE-B,Scotland,Wood,Shipment,Imported,2.1389899999999997,2024-03-24
REC-0871-Q4 2024-SITE-A-PL01,,ORG-12345,SITE-A,England,Plastic,Secondary,Imported,3.31042,2024-02-12
REC-0872-2024-Q3-SITE-D-PL02,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Plastic,Secondary,Exported,1.5250000000000001,2024-12-16
REC-0873-2024-Q1-SITE-A-PL02,2024-Q1,ORG-12345,SITE-A,England,Plastic,Secondary,Exported,4.22161,2024-12-20
REC-0874-2024-Q1-SITE-E-OT01,2024-Q1,ORG-12345,SITE-E,England,Other,Secondary,Imported,4.4286,2024-07-01
REC-0875-Q2 2024-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Fibre-based composite,Tertiary,Exported,3732.6,2024-04-13
REC-0876-2024-Q3-SITE-D-AL01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Aluminium,Secondary,Imported,2.07146,2024-03-12
REC-0877-Q2 2024-SITE-C-PC01,2024-Q2,ORG-12345,SITE-C,Wales,Paper/card,Shipment,Imported,2.4005300000000003,2024-09-14
REC-0878-Q2 2024-SITE-A-PC01,2024-Q2,ORG-12345,SITE-A,England,Paper/card,Tertiary,Imported,0.15431999999999998,2024-10-23
REC-0879-Q2 2024-SITE-A-FB01,2024-Q2,ORG-12345,SITE-A,England,Fibre-based composite,Secondary,Exported,4794.49,2024-07-31
REC-0880-Q2 2024-SITE-C-PL01,2024-Q2,ORG-12345,SITE-C,Wales,Plastic,Secondary,Imported,1.5394,2024-08-26
REC-0881-2024-Q1-SITE-C-PC01,2024-Q1,ORG-12345,SITE-C,Wales,Paper/card,Tertiary,Exported,2.0611300000000004,2024-09-12
REC-0882-2024-Q3-SITE-B-FB01,2024-Q3,ORG-12345,SITE-B,Scotland,Fibre-based composite,Tertiary,Imported,3.60106,2024-02-17
REC-0883-2024-Q1-SITE-D-PC01,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Paper/card,Secondary,Exported,3659.7,2024-12-08
REC-0884-Q4 2024-SITE-A-GL01,,ORG-12345,SITE-A,England,Glass,Tertiary,Imported,3.9655500000000004,2024-12-01
REC-0885-Q2 2024-SITE-B-ST01,2024-Q2,ORG-12345,SITE-B,Scotland,Steel,Secondary,Exported,0.45705,2024-12-31
REC-0886-Q2 2024-SITE-C-FB01,2024-Q2,ORG-12345,SITE-C,Wales,Fibre-based composite,Tertiary,Imported,2.2848800000000002,2024-11-13
REC-0887-Q2 2024-SITE-C-PC01,2024-Q2,ORG-12345,SITE-C,Wales,Paper/card,Tertiary,Imported,1033.39,2024-07-26
REC-0888-Q4 2024-SITE-A-AL01,,ORG-12345,SITE-A,England,Aluminium,Primary,Supplied as goods,4.61941,2024-05-28
REC-0889-2024-Q1-SITE-B-GL01,2024-Q1,ORG-12345,SITE-B,Scotland,Glass,Primary,Imported,3109.12,2024-04-11
REC-0890-2024-Q1-SITE-D-PL02,2024-Q1,ORG-12345,SITE-D,Northern Ireland,Plastic,Primary,Exported,2652.9,2024-04-28
REC-0891-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Aluminium,Tertiary,Imported,1475.41,2024-04-29
REC-0892-Q2 2024-SITE-D-AL01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Aluminium,Tertiary,Imported,3.6471999999999998,2024-03-29
REC-0893-2024-Q3-SITE-B-PL01,2024-Q3,ORG-12345,SITE-B,Scotland,Plastic,Secondary,Imported,1215.65,2024-12-30
REC-0894-Q2 2024-SITE-D-WD01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Wood,Primary,Supplied as goods,2370.96,2024-07-29
REC-0895-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Fibre-based composite,Tertiary,Exported,1.31832,2024-07-03
REC-0896-2024-Q3-SITE-A-AL01,2024-Q3,ORG-12345,SITE-A,England,Aluminium,Secondary,Imported,4.98386,2024-11-27
REC-0897-2024-Q1-SITE-E-FB01,2024-Q1,ORG-12345,SITE-E,England,Fibre-based composite,Secondary,Imported,3.37275,2024-04-15
REC-0898-Q2 2024-SITE-D-ST01,2024-Q2,ORG-12345,SITE-D,Northern Ireland,Steel,Primary,Exported,2489.56,2024-06-25
REC-0899-Q2 2024-SITE-A-OT01,2024-Q2,ORG-12345,SITE-A,England,Other,Secondary,Supplied as goods,1339.01,2024-06-06
REC-0900-2024-Q3-SITE-E-PC01,2024-Q3,ORG-12345,SITE-E,England,Paper/card,Secondary,Imported,4518.82,2024-06-23
REC-0901-2024Q2-SITE-B-FB01,2024-Q2,ORG-12345,SITE-B,Scotland,Fibre-based composite,Primary,Imported,3697.5,2024-04-20
REC-0902-Q2 2024-SITE-C-GL01,2024-Q2,ORG-12345,SITE-C,Wales,Glass,Primary,Supplied as goods,956.55,2024-09-10
REC-0903-Q4 2024-SITE-E-FB01,,ORG-12345,SITE-E,England,Fibre-based composite,Primary,Imported,251.92,2024-09-23
REC-0904-2024-Q1-SITE-C-PL02,2024-Q1,ORG-12345,SITE-C,Wales,Plastic,Tertiary,Exported,4.34105,2024-06-08
REC-0905-Q2 2024-SITE-E-GL01,2024-Q2,ORG-12345,SITE-E,England,Glass,Tertiary,Supplied as goods,3.76219,2024-01-17
REC-0906-Q4 2024-SITE-B-OT01,,ORG-12345,SITE-B,Scotland,Other,Tertiary,Exported,0.9438200000000001,2024-03-03
REC-0907-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Paper/card,Primary,Imported,3.4225,2024-03-15
REC-0908-2024-Q3-SITE-D-PC01,2024-Q3,ORG-12345,SITE-D,Northern Ireland,Paper/card,Primary,Supplied as goods,451.26,2024-12-16
